# Constructed from biom file																																																																																																																												
Feature_ID	1-OK001-A	10-OK004-A	100-P0305-A	101-P0305-B	102-P0305-C	103-P0307-A	104-P0307-B	105-P0307-C	106-P0307-D	107-P0311-A	108-P0311-B	109-P0311-C	11-OK004-B	110-P0311-D	111-P0313-A	112-P0313-B	113-P0313-C	114-P0313-D	115-P0320-A	116-P0320-B	117-P0320-C	118-P0320-D	119-P0320-D2	12-OK004-C	120-P0321-A	121-P0321-B	122-P0321-C	123-P0321-D	13-OK005-A	14-OK005-B	15-OK005-C	16-OK006-A	17-OK006-B	18-OK006-C	19-OK007-A	2-OK001-B	20-OK007-B	21-OK007-C	22-OK008-A	23-OK008-B	24-OK008-C	25-OK009-A	26-OK009-B	27-OK009-C	28-OK010-A	29-OK010-B	3-OK001-C	30-OK010-C	31-P0001-A	32-P0001-A2	33-P0001-B	34-P0001-C	35-P0001-D	36-P0003-A	37-P0003-A2	38-P0003-B	39-P0003-C	4-OK002-A	40-P0003-D	41-P0004-A	42-P0004-B	43-P0004-C	44-P0004-D	45-P0004-D2	46-P0005-A	47-P0005-B	48-P0005-C	49-P0006-A	5-OK002-B	50-P0006-B	51-P0006-C	52-P0113-A	53-P0113-B	54-P0113-C	55-P0188-A	56-P0188-B	57-P0188-C	58-P0188-D	59-P0193-A	6-OK002-C	60-P0193-B	61-P0193-C	62-P0193-D	63-P0221-A	64-P0221-B	65-P0221-C	66-P0228-A	67-P0228-B	68-P0228-C	69-P0230-A	7-OK003-A	70-P0230-B	71-P0230-C	72-P0230-D	73-P0244-A	74-P0244-B	75-P0244-C	76-P0244-D	77-P0251-A	78-P0251-B	79-P0251-C	8-OK003-B	80-P0251-D	81-P0263-A	82-P0263-B	83-P0263-C	84-P0263-D	85-P0282-A	86-P0282-B	87-P0282-C	88-P0289-A	89-P0289-B	9-OK003-C	90-P0289-C	91-P0289-D	92-P0290-A	93-P0290-B	94-P0290-C	95-P0290-D	96-P0294-A	97-P0294-B	98-P0294-C	99-P0294-D	Blank
9e78622d27861a678119c19ee8ed35ad	0	498	0	542	0	2695	0	0	0	337	491	618	201	1417	106	89	0	216	2248	19	774	2801	1235	317	641	315	352	2309	4711	3882	4598	783	83	1262	452	0	213	253	575	164	1156	1425	0	408	1530	0	9	0	0	0	53	382	881	0	0	0	0	392	0	117	0	0	0	0	512	0	307	383	0	223	718	0	0	0	0	43	0	1710	0	688	1444	0	0	420	502	280	0	0	0	933	1021	101	123	248	1307	0	83	231	3704	1278	0	306	4068	563	13	0	928	552	314	149	219	682	0	223	437	715	0	2976	1357	0	0	0	0	0
9b63feca30ef983a2f8e168c0538ef5c	0	434	1479	578	2117	263	0	429	0	549	510	621	604	832	29	349	63	24	550	21	170	209	288	328	138	148	61	772	2020	295	701	272	9	164	502	0	215	282	172	0	164	26	0	119	282	202	240	0	0	0	41	926	64	1699	1871	927	1128	107	2746	558	568	2004	544	664	293	335	546	174	206	124	82	0	1536	337	0	8052	137	1422	12	711	1209	1695	0	358	458	348	0	616	0	518	350	251	968	572	718	30	497	806	372	2010	28	241	585	1240	786	2386	1034	62	469	41	0	562	0	0	116	373	291	2266	177	660	172	53	756	0
f26b7f831df33549d7840100b1d01675	11	8	0	0	0	0	20	0	17	0	105	0	0	0	0	191	76	0	822	46	826	1488	960	0	0	0	0	0	0	12	5	11	0	33	12	16	0	23	0	0	5	0	4	0	12	0	0	0	12	10	28	230	188	86	330	4917	2188	0	2339	12	9	0	20	14	0	0	0	0	0	60	43	25	10423	8768	3	1494	0	255	0	0	483	0	0	12	0	0	0	16	0	0	11	22	0	0	0	0	7	15	630	1963	6	63	1687	0	34	0	8	64	8	20	0	41	0	0	0	108	32	664	126	1490	5756	5631	13090	6
f9b6accc90149a6ffbd7a00bba4effa3	0	18	283	1838	0	0	0	0	0	1640	213	0	0	0	175	699	5	225	0	0	0	0	0	0	2862	553	0	0	0	0	0	0	0	454	0	0	0	0	0	0	0	1255	0	0	0	0	0	0	0	0	281	65	2677	0	0	0	0	276	0	0	0	0	0	0	0	0	0	1049	0	1846	99	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3856	0	1693	6048	1820	0	0	0	0	4160	1801	10	0	17692	0	0	0	0	6323	282	490	4	846	0	182	309	0	0	0	2959	0	0	0	0	0
18c0ee11da1fca79a281a9c2e5294550	0	0	0	0	0	0	0	0	0	59	0	1725	0	132	356	0	144	1234	1958	0	0	2273	2401	0	340	78	1787	506	163	620	473	417	549	228	0	73	112	60	120	2779	775	16	91	0	78	0	0	0	6	9	4	0	370	5	13	0	0	186	0	0	0	0	0	0	0	0	0	1579	0	622	2511	16625	0	4271	0	15	0	42	0	542	0	0	0	63	478	1866	0	0	0	2134	151	361	51	1469	30	404	0	28	126	0	0	7	113	0	0	0	0	1669	0	0	1892	1499	15	1252	2386	2070	0	0	202	0	0	0	0	0
2660812fe64064c1e86550365ab4c0ca	13	271	301	1170	538	393	12	0	0	540	553	653	0	387	181	1272	212	859	380	0	14	0	0	410	215	320	280	990	0	0	415	296	551	657	144	16	2034	785	261	565	417	228	142	677	479	0	218	1464	1177	986	1640	1725	2200	0	0	0	0	150	0	596	1936	1290	995	1270	14	311	801	762	0	853	2750	0	0	0	51	1291	410	1896	10	394	645	0	0	876	687	627	0	0	0	453	733	223	994	859	736	1080	804	292	0	0	0	487	0	327	221	2006	0	798	55	1804	390	828	23	149	1129	1130	0	1209	426	0	416	0	0	0
44812eaab3ad2ae6cf6271776a30b746	0	1666	129	0	103	1204	0	2799	0	4933	0	164	243	421	0	0	0	44	4173	0	0	71	119	4291	0	0	0	0	0	0	0	0	0	0	496	0	126	135	0	0	124	0	0	57	114	0	276	0	0	0	0	0	0	425	544	1444	870	0	1141	69	0	0	0	0	1393	1303	643	0	0	0	0	0	0	0	0	0	115	1120	83	0	0	0	0	0	91	57	0	9724	0	0	0	0	0	0	726	43	507	36	0	0	0	165	0	793	2565	1643	5973	597	0	0	0	0	0	0	0	0	3894	881	77	0	0	0	0	0
b7afcbf877cd6cdee8f4658df14a57e1	0	340	0	0	0	0	21	0	0	40	3220	8993	3907	115	434	853	189	807	871	0	16	0	0	605	0	0	0	0	0	0	199	491	238	2249	0	0	2052	941	1025	11	149	347	0	166	0	0	12	0	0	0	100	0	45	0	0	0	0	358	0	0	0	0	0	0	0	0	0	133	0	2249	1574	0	0	0	0	13	0	0	12	1768	1301	0	0	0	0	0	0	0	0	373	2425	810	1175	108	0	0	0	0	0	0	0	1653	0	0	0	0	0	2047	2366	663	701	3047	0	1664	2054	852	0	0	0	0	0	0	0	0
331219930a22e597e4d58e8279fdba9b	155	271	0	392	57	251	1762	0	259	587	1601	296	90	475	243	98	65	609	0	0	0	0	0	82	1062	1290	611	0	0	0	272	213	1451	148	10	151	527	777	79	112	42	587	998	343	145	0	187	166	532	401	141	39	589	0	0	0	0	67	0	0	0	0	0	0	766	362	466	2590	3	2325	3770	0	0	0	2	334	13	31	12	0	1160	33	0	1218	1981	1552	0	0	0	1853	111	381	223	1955	288	13	0	0	0	0	0	20	0	51	77	359	0	213	59	2101	3258	3400	0	822	3389	0	17	11	2147	0	0	0	0	0
bff0fb00b3626664ff6dfa9c60accfe2	0	1347	191	179	315	0	0	0	0	1391	266	313	1260	1116	910	28	0	253	0	0	0	0	0	2124	1279	143	228	1938	376	863	226	658	0	427	942	0	1080	1391	875	316	2184	541	0	133	111	0	450	0	0	0	0	94	304	0	0	0	8	2103	0	0	0	0	0	0	1211	0	46	592	0	1130	996	0	0	0	0	212	34	758	14	47	72	0	0	1389	813	3378	0	7	0	80	394	64	259	38	618	16	1094	925	0	0	0	870	0	0	0	0	0	1070	1011	1395	408	308	0	77	505	4021	1856	933	256	0	0	0	0	0
